AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,PersonID
1,1,Vijay Kumar,40,1,A1
2,1,Sunita Reddy,32,1,A2
3,1,Mahesh Nayak,43,2,A3
4,2,Mahesh Bhat,31,1,A1
5,2,Suresh Pujari,35,2,A2
6,3,Ramesh Deshmukh,28,1,A1
7,3,Mahesh Deshmukh,48,1,A2
8,4,Ramesh Hegde,40,1,A1
9,5,Lakshmi Reddy,40,1,A1
10,6,Anitha Patil,45,1,A1
11,7,Suresh Deshmukh,37,1,A1
12,7,Priya Reddy,48,1,A2
13,8,Sunita Kumar,40,2,A1
14,8,Ganesh Deshmukh,43,1,A2
15,8,Mahesh Deshmukh,25,1,A3
16,9,Anitha Hegde,45,1,A1
17,10,Manjunath Pujari,29,1,A1
18,10,Lakshmi Shetty,24,1,A2
19,10,Vijay Rao,30,1,A3
20,11,Ganesh Kumar,32,1,A1
21,11,Mahesh Kumar,36,1,A2
22,12,Venkatesh Nayak,39,1,A1
23,12,Sunita Hegde,19,1,A2
24,13,Ramesh Pujari,50,1,A1
25,14,Mahesh Patil,50,2,A1
26,14,Priya Pujari,23,2,A2
27,15,Anitha Patil,45,1,A1
28,15,Suresh Bhat,37,2,A2
29,15,Lakshmi Bhat,48,1,A3
30,16,Anitha Kulkarni,49,1,A1
31,16,Venkatesh Rao,22,2,A2
32,17,Manjunath Nayak,32,1,A1
33,17,Anitha Kulkarni,21,1,A2
34,18,Lakshmi Kulkarni,48,1,A1
35,19,Ganesh Gowda,43,1,A1
36,19,Ramesh Bhat,22,1,A2
37,19,Venkatesh Shetty,27,1,A3
38,20,Ramesh Pujari,38,2,A1
39,21,Ganesh Patil,36,2,A1
40,21,Sunita Pujari,30,1,A2
41,22,Kavitha Nayak,42,2,A1
42,23,Ganesh Shetty,34,1,A1
43,24,Priya Gowda,29,1,A1
44,25,Kavitha Rao,47,1,A1
45,25,Venkatesh Pujari,48,1,A2
46,25,Ganesh Kulkarni,42,1,A3
47,26,Kavitha Patil,30,1,A1
48,26,Sunita Hegde,21,1,A2
49,26,Ganesh Kulkarni,20,1,A3
50,27,Suresh Shetty,19,2,A1
51,28,Manjunath Shetty,49,1,A1
