ComplainantID,CaseMasterID,ComplainantName,AgeYear,OccupationID,ReligionID,CasteID,GenderID
1,1,Vijay Patil,25,7,3,1,2
2,2,Ramesh Pujari,48,9,1,6,2
3,3,Kavitha Pujari,29,5,2,3,2
4,4,Vijay Deshmukh,37,3,3,5,1
5,5,Anitha Pujari,61,4,4,6,2
6,6,Venkatesh Deshmukh,67,6,5,5,1
7,7,Venkatesh Shetty,70,6,2,10,1
8,8,Manjunath Deshmukh,52,2,4,9,1
9,9,Mahesh Kumar,24,6,3,5,2
10,10,Suresh Kulkarni,24,5,2,8,1
11,11,Anitha Patil,64,2,4,2,2
12,12,Priya Rao,34,5,4,4,1
13,13,Manjunath Shetty,51,10,3,7,2
14,14,Mahesh Deshmukh,62,2,5,8,1
15,15,Ganesh Hegde,35,2,5,6,2
16,16,Priya Reddy,57,6,1,1,2
17,17,Anitha Kulkarni,69,7,5,3,2
18,18,Anitha Patil,36,9,5,7,2
19,19,Manjunath Shetty,28,4,1,9,1
20,20,Suresh Rao,28,4,4,8,1
21,21,Ramesh Pujari,69,1,4,6,1
22,22,Suresh Pujari,27,9,1,8,1
23,23,Priya Kumar,59,7,1,3,2
24,24,Ganesh Pujari,65,10,3,1,1
25,25,Manjunath Kumar,62,7,3,5,1
26,26,Venkatesh Gowda,21,1,3,1,2
27,27,Suresh Rao,37,6,5,7,1
28,28,Priya Rao,29,6,5,9,2
29,29,Mahesh Kulkarni,28,6,1,2,1
30,30,Venkatesh Nayak,67,1,4,2,2
31,31,Kavitha Shetty,55,1,4,10,1
32,32,Ramesh Hegde,34,3,1,2,2
33,33,Anitha Gowda,58,10,5,6,1
34,34,Vijay Bhat,38,5,3,10,1
35,35,Ganesh Pujari,63,1,2,5,1
36,36,Manjunath Kumar,53,8,2,5,1
37,37,Manjunath Patil,39,6,2,6,2
38,38,Sunita Bhat,22,8,2,2,1
39,39,Vijay Hegde,32,9,1,10,2
40,40,Vijay Reddy,52,7,4,2,2
41,41,Lakshmi Pujari,52,7,3,6,2
42,42,Venkatesh Nayak,38,6,1,7,1
43,43,Ramesh Kulkarni,65,3,4,4,1
44,44,Sunita Rao,31,3,5,4,2
45,45,Anitha Bhat,52,10,4,8,1
46,46,Vijay Gowda,51,4,4,2,2
47,47,Kavitha Kumar,37,5,2,6,1
48,48,Anitha Pujari,48,1,2,10,2
49,49,Priya Shetty,46,10,3,6,1
50,50,Lakshmi Hegde,28,1,5,5,1
51,51,Ramesh Bhat,58,7,5,5,2
52,52,Venkatesh Gowda,21,8,5,9,2
53,53,Mahesh Kumar,63,9,2,7,2
54,54,Mahesh Reddy,56,2,5,3,1
55,55,Kavitha Bhat,30,8,4,10,2
56,56,Kavitha Reddy,26,6,2,5,2
57,57,Suresh Pujari,37,7,1,7,1
58,58,Priya Rao,45,2,5,9,2
59,59,Kavitha Hegde,41,5,4,10,2
60,60,Suresh Gowda,55,4,5,1,1
61,61,Sunita Gowda,49,1,3,9,2
62,62,Manjunath Kumar,58,10,1,2,2
63,63,Anitha Deshmukh,51,5,2,5,2
64,64,Ganesh Patil,32,3,3,4,1
65,65,Lakshmi Shetty,44,3,3,8,1
66,66,Kavitha Shetty,53,9,4,8,2
67,67,Lakshmi Shetty,28,1,4,6,1
68,68,Mahesh Rao,38,10,2,2,2
69,69,Manjunath Kumar,60,7,2,2,2
70,70,Mahesh Pujari,23,2,4,8,1
71,71,Ramesh Shetty,42,2,3,1,1
72,72,Anitha Shetty,43,2,4,2,2
73,73,Manjunath Shetty,39,3,2,5,1
74,74,Vijay Kumar,66,8,3,9,2
75,75,Priya Deshmukh,45,10,1,9,1
76,76,Suresh Pujari,60,4,1,2,2
77,77,Mahesh Nayak,23,7,1,2,2
78,78,Venkatesh Kumar,38,10,4,4,1
79,79,Manjunath Deshmukh,24,2,2,3,1
80,80,Sunita Pujari,46,8,3,2,2
81,81,Ramesh Bhat,38,10,2,3,1
82,82,Anitha Pujari,37,5,5,5,1
83,83,Mahesh Pujari,60,5,1,7,1
84,84,Suresh Gowda,44,8,5,6,1
85,85,Priya Gowda,53,8,3,2,1
86,86,Vijay Nayak,45,3,3,10,2
87,87,Anitha Shetty,69,1,1,4,2
88,88,Suresh Rao,62,6,1,1,1
89,89,Vijay Gowda,60,10,2,10,2
90,90,Priya Hegde,39,3,2,3,1
91,91,Vijay Shetty,42,8,3,8,1
92,92,Sunita Rao,46,9,2,9,2
93,93,Ramesh Deshmukh,54,10,3,7,2
94,94,Ramesh Nayak,21,8,5,4,2
95,95,Ramesh Shetty,63,1,3,8,2
96,96,Vijay Shetty,36,1,4,2,2
97,97,Sunita Reddy,68,1,5,4,1
98,98,Ramesh Gowda,41,5,3,4,2
99,99,Lakshmi Rao,47,1,5,2,1
100,100,Priya Reddy,23,3,5,8,1
101,101,Venkatesh Kulkarni,57,1,4,6,1
102,102,Vijay Pujari,58,8,3,4,2
103,103,Anitha Hegde,68,9,5,5,1
104,104,Lakshmi Patil,69,2,1,5,1
105,105,Ramesh Deshmukh,69,2,1,6,2
106,106,Anitha Reddy,50,4,4,10,2
107,107,Ganesh Kulkarni,64,7,3,2,1
108,108,Manjunath Bhat,51,3,1,2,1
109,109,Mahesh Reddy,64,2,3,3,2
110,110,Lakshmi Pujari,63,8,3,6,2
111,111,Suresh Shetty,38,8,5,3,1
112,112,Ganesh Patil,38,8,3,7,2
113,113,Venkatesh Kumar,61,10,3,4,2
114,114,Mahesh Nayak,58,2,4,8,1
115,115,Suresh Deshmukh,36,9,5,7,2
116,116,Mahesh Nayak,34,1,5,4,1
117,117,Priya Nayak,65,10,3,2,1
118,118,Lakshmi Bhat,42,9,5,4,2
119,119,Suresh Nayak,56,1,5,4,1
120,120,Venkatesh Deshmukh,42,9,5,1,2
121,121,Anitha Kulkarni,67,10,2,9,1
122,122,Priya Reddy,67,9,3,9,2
123,123,Suresh Hegde,43,8,2,10,2
124,124,Vijay Pujari,65,9,5,2,1
125,125,Sunita Nayak,32,6,5,8,1
126,126,Lakshmi Patil,68,3,1,3,1
127,127,Venkatesh Kumar,51,3,3,3,1
128,128,Manjunath Hegde,47,9,1,5,2
129,129,Suresh Pujari,21,9,5,5,1
130,130,Mahesh Nayak,59,3,4,3,1
131,131,Lakshmi Bhat,59,10,5,7,2
132,132,Kavitha Pujari,41,5,5,7,2
133,133,Ramesh Nayak,48,4,1,1,1
134,134,Kavitha Pujari,64,7,3,8,2
135,135,Manjunath Shetty,39,3,1,2,1
136,136,Suresh Shetty,46,10,5,5,2
137,137,Venkatesh Kulkarni,65,4,3,7,2
138,138,Ramesh Kulkarni,56,2,5,7,2
139,139,Vijay Reddy,21,7,3,6,2
140,140,Suresh Reddy,61,10,2,1,1
141,141,Manjunath Kulkarni,44,3,3,2,2
142,142,Manjunath Patil,62,1,3,9,1
143,143,Lakshmi Shetty,54,5,2,7,1
144,144,Mahesh Bhat,34,9,5,5,1
145,145,Sunita Shetty,47,7,3,6,1
146,146,Anitha Pujari,42,2,4,8,1
147,147,Anitha Kulkarni,52,1,3,6,2
148,148,Kavitha Patil,59,5,4,4,2
149,149,Venkatesh Reddy,65,4,1,2,2
150,150,Kavitha Kumar,31,7,3,10,2
151,151,Anitha Kumar,27,7,3,8,2
152,152,Sunita Kumar,23,1,3,10,2
153,153,Priya Pujari,64,4,5,4,1
154,154,Sunita Hegde,54,10,5,7,2
155,155,Lakshmi Hegde,53,2,2,6,1
156,156,Suresh Kumar,61,5,2,8,2
157,157,Manjunath Reddy,54,8,5,9,2
158,158,Vijay Hegde,39,6,4,10,2
159,159,Mahesh Deshmukh,65,3,5,9,2
160,160,Mahesh Reddy,55,9,5,4,1
161,161,Ramesh Shetty,46,4,1,3,2
162,162,Suresh Nayak,46,7,3,7,1
163,163,Lakshmi Gowda,32,4,1,2,1
164,164,Mahesh Gowda,67,2,2,4,1
165,165,Ganesh Shetty,21,1,2,1,2
166,166,Vijay Bhat,67,4,5,10,2
167,167,Vijay Kulkarni,44,4,4,5,1
168,168,Manjunath Gowda,46,7,5,3,1
169,169,Anitha Patil,23,3,3,7,1
170,170,Suresh Patil,61,7,1,6,2
171,171,Ganesh Reddy,28,9,2,3,1
172,172,Sunita Hegde,45,5,4,9,2
173,173,Ramesh Kumar,21,5,1,7,1
174,174,Lakshmi Deshmukh,40,5,3,2,2
175,175,Anitha Kulkarni,50,3,4,2,1
176,176,Sunita Bhat,33,1,4,10,1
177,177,Suresh Reddy,70,9,2,3,1
178,178,Kavitha Kulkarni,45,2,5,3,1
179,179,Sunita Hegde,63,7,5,4,2
180,180,Suresh Kulkarni,67,1,5,4,2
181,181,Vijay Deshmukh,32,3,4,10,1
182,182,Lakshmi Gowda,58,8,2,8,2
183,183,Sunita Patil,35,8,2,4,2
184,184,Suresh Patil,59,6,5,8,2
185,185,Sunita Patil,47,5,3,8,2
186,186,Sunita Kulkarni,56,6,2,10,2
187,187,Suresh Kulkarni,61,4,1,10,1
188,188,Lakshmi Kulkarni,47,7,1,2,2
189,189,Lakshmi Kulkarni,58,1,1,10,2
190,190,Anitha Kulkarni,24,3,1,4,2
191,191,Anitha Reddy,28,5,5,6,1
192,192,Sunita Kulkarni,49,9,4,3,2
193,193,Venkatesh Hegde,66,3,1,6,1
194,194,Suresh Hegde,58,6,4,1,1
195,195,Venkatesh Hegde,25,10,3,3,2
196,196,Manjunath Rao,45,10,1,2,1
197,197,Ramesh Hegde,35,6,2,10,2
198,198,Ramesh Kumar,40,3,4,6,2
199,199,Ganesh Shetty,66,9,3,5,1
200,200,Ganesh Kulkarni,23,5,5,10,1
201,201,Priya Gowda,38,1,4,7,1
202,202,Suresh Rao,30,2,3,10,1
203,203,Mahesh Kumar,50,7,1,3,1
204,204,Vijay Patil,48,7,5,8,2
205,205,Ramesh Nayak,41,7,1,10,2
206,206,Priya Nayak,70,8,5,4,1
207,207,Priya Kumar,30,8,3,8,1
208,208,Ganesh Gowda,52,10,5,10,1
209,209,Ganesh Kulkarni,21,9,1,3,1
210,210,Suresh Deshmukh,39,10,1,1,2
211,211,Priya Bhat,47,8,1,5,1
212,212,Lakshmi Reddy,28,1,5,8,2
213,213,Ganesh Bhat,66,9,2,3,2
214,214,Lakshmi Rao,43,4,2,9,2
215,215,Ganesh Rao,56,9,1,4,2
216,216,Mahesh Kumar,43,8,5,6,1
217,217,Venkatesh Deshmukh,32,1,2,6,2
218,218,Kavitha Reddy,49,2,5,8,2
219,219,Vijay Gowda,30,5,2,5,2
220,220,Ramesh Bhat,28,3,1,8,2
221,221,Sunita Gowda,27,3,4,4,1
222,222,Ganesh Rao,44,4,5,2,2
223,223,Vijay Kumar,26,9,3,8,2
224,224,Priya Rao,48,6,1,2,2
225,225,Venkatesh Kulkarni,52,4,3,4,2
226,226,Mahesh Kumar,61,8,5,2,2
227,227,Kavitha Pujari,37,8,3,4,1
228,228,Mahesh Bhat,62,6,1,6,1
229,229,Vijay Gowda,45,8,2,8,1
230,230,Mahesh Patil,50,10,3,10,1
231,231,Suresh Reddy,29,5,1,5,2
232,232,Suresh Kumar,45,4,1,1,2
233,233,Vijay Shetty,24,2,1,1,2
234,234,Priya Hegde,56,4,4,4,1
235,235,Mahesh Patil,22,3,2,2,2
236,236,Priya Patil,59,2,3,8,1
237,237,Anitha Rao,45,3,3,3,2
238,238,Ramesh Pujari,63,3,4,6,1
239,239,Lakshmi Pujari,64,3,4,3,2
240,240,Vijay Rao,60,9,4,6,1
241,241,Priya Kumar,54,8,5,4,1
242,242,Venkatesh Bhat,66,5,1,1,2
243,243,Kavitha Deshmukh,47,4,1,1,1
244,244,Suresh Nayak,51,8,1,6,1
245,245,Priya Patil,26,6,1,4,2
246,246,Sunita Rao,66,6,3,7,1
247,247,Ramesh Deshmukh,50,1,2,1,2
248,248,Kavitha Shetty,53,4,3,5,1
249,249,Lakshmi Bhat,50,2,3,9,2
250,250,Vijay Shetty,51,9,2,3,1
251,251,Mahesh Deshmukh,50,2,4,4,1
252,252,Ganesh Bhat,23,10,1,10,2
253,253,Suresh Pujari,59,10,1,10,1
254,254,Anitha Gowda,51,8,3,7,2
255,255,Sunita Gowda,63,5,5,7,2
256,256,Venkatesh Kulkarni,22,2,2,9,1
257,257,Venkatesh Reddy,44,9,4,8,2
258,258,Lakshmi Deshmukh,69,3,5,1,2
259,259,Priya Nayak,63,8,2,3,1
260,260,Kavitha Nayak,22,3,1,8,2
261,261,Priya Hegde,28,9,4,1,1
262,262,Ramesh Shetty,25,1,1,10,1
263,263,Manjunath Nayak,23,9,3,4,1
264,264,Manjunath Reddy,67,9,2,6,1
265,265,Priya Patil,64,1,1,10,1
266,266,Mahesh Kumar,29,8,4,4,1
267,267,Lakshmi Nayak,55,5,5,7,2
268,268,Priya Shetty,38,2,1,1,1
269,269,Anitha Pujari,28,6,4,6,2
270,270,Ramesh Rao,44,9,3,5,1
271,271,Manjunath Gowda,32,8,4,8,1
272,272,Priya Patil,43,7,4,7,2
273,273,Sunita Pujari,52,2,5,8,2
274,274,Kavitha Rao,25,4,1,10,2
275,275,Kavitha Hegde,33,10,4,9,2
276,276,Ganesh Bhat,30,3,3,1,1
277,277,Mahesh Reddy,68,9,5,8,1
278,278,Ganesh Reddy,38,9,3,10,2
279,279,Sunita Pujari,48,5,2,9,2
280,280,Anitha Reddy,61,5,3,1,2
281,281,Ramesh Reddy,27,7,5,5,2
282,282,Kavitha Patil,60,3,2,6,1
283,283,Lakshmi Deshmukh,60,10,2,3,2
284,284,Manjunath Rao,53,4,5,2,1
285,285,Ramesh Gowda,61,9,2,1,1
286,286,Lakshmi Kulkarni,68,2,5,9,1
287,287,Ramesh Hegde,35,8,3,5,1
288,288,Kavitha Rao,21,8,4,2,2
289,289,Priya Bhat,31,5,1,9,2
290,290,Lakshmi Pujari,43,7,2,1,1
291,291,Priya Reddy,53,5,2,8,2
292,292,Manjunath Patil,44,8,5,8,2
293,293,Manjunath Pujari,31,5,1,6,1
294,294,Suresh Rao,59,9,5,2,1
295,295,Kavitha Kumar,26,6,2,6,1
296,296,Vijay Kumar,23,10,5,1,2
297,297,Ramesh Hegde,56,4,4,10,2
298,298,Manjunath Patil,68,10,4,10,2
299,299,Vijay Patil,29,2,5,5,2
300,300,Vijay Shetty,54,7,4,3,1
301,301,Anitha Kulkarni,38,9,4,6,1
302,302,Ramesh Reddy,22,10,4,3,2
303,303,Manjunath Hegde,46,1,4,9,1
304,304,Ganesh Hegde,60,8,3,4,2
305,305,Sunita Pujari,67,2,5,9,1
306,306,Lakshmi Kumar,42,7,4,9,1
307,307,Venkatesh Reddy,47,5,5,3,2
308,308,Mahesh Kulkarni,51,10,1,3,2
309,309,Suresh Gowda,64,4,4,8,1
310,310,Ramesh Reddy,69,10,1,5,1
311,311,Venkatesh Kulkarni,32,9,1,4,1
312,312,Suresh Kulkarni,29,8,3,6,2
313,313,Ramesh Rao,31,6,1,3,2
314,314,Ramesh Kumar,35,5,3,10,2
315,315,Anitha Deshmukh,39,8,2,1,1
316,316,Priya Deshmukh,25,4,3,8,2
317,317,Vijay Hegde,45,10,3,7,2
318,318,Vijay Rao,24,6,1,9,2
319,319,Mahesh Shetty,58,4,4,7,2
320,320,Kavitha Hegde,43,8,1,2,1
321,321,Manjunath Gowda,25,1,5,1,1
322,322,Anitha Patil,54,1,2,9,1
323,323,Lakshmi Shetty,55,4,4,5,2
324,324,Ramesh Gowda,38,9,3,10,2
325,325,Suresh Bhat,60,1,1,7,2
326,326,Ganesh Bhat,53,6,1,8,1
