EmployeeID,DistrictID,UnitID,RankID,DesignationID,KGID,FirstName,EmployeeDOB,GenderID,BloodGroupID,PhysicallyChallenged,AppointmentDate
9001,1001,3001,5,102,KGID-105001,Suresh Pujari,1983-03-16,1,1,0,2006-06-01
9002,1001,3001,4,101,KGID-105002,Anand Rao,1997-01-01,1,2,0,2006-06-01
9003,1001,3001,4,101,KGID-105003,Ganesh Bhat,1981-06-23,1,1,0,2006-06-01
9004,1001,3001,4,101,KGID-105004,Shivakumar Patil,1995-06-16,1,4,0,2010-06-01
9005,1001,3001,4,101,KGID-105005,Suresh Pujari,1989-12-20,1,2,0,2018-06-01
9006,1001,3001,3,103,KGID-105006,Prakash Gowda,1970-01-23,1,3,0,2020-06-01
9007,1001,3001,3,103,KGID-105007,Manjunatha Pujari,1982-11-28,1,1,0,2021-06-01
9008,1001,3001,2,103,KGID-105008,Ramesh Hiremath,1977-10-17,1,1,0,2013-06-01
9009,1001,3001,3,103,KGID-105009,Manjunatha Gowda,1978-02-06,1,2,0,2021-06-01
9010,1001,3001,3,103,KGID-105010,Vijay Kulkarni,1998-05-19,1,4,0,2008-06-01
9011,1001,3002,5,102,KGID-105011,Prakash Kulkarni,1982-03-09,1,4,0,2015-06-01
9012,1001,3002,4,101,KGID-105012,Basavaraj Pujari,1991-07-01,1,2,0,2008-06-01
9013,1001,3002,4,101,KGID-105013,Mahesh Patil,1971-07-13,1,2,0,2005-06-01
9014,1001,3002,4,101,KGID-105014,Mahesh Rao,1985-11-14,1,3,0,2017-06-01
9015,1001,3002,4,101,KGID-105015,Vijay Nayak,1980-11-25,1,1,0,2005-06-01
9016,1001,3002,2,103,KGID-105016,Manjunatha Chavan,1978-03-04,1,1,0,2011-06-01
9017,1001,3002,1,103,KGID-105017,Prakash Pujari,1992-02-23,1,1,0,2022-06-01
9018,1001,3002,2,103,KGID-105018,Vijay Patil,1970-05-26,1,4,0,2005-06-01
9019,1001,3002,2,103,KGID-105019,Suresh Chavan,1973-07-11,1,1,0,2018-06-01
9020,1001,3002,2,103,KGID-105020,Mahesh Pujari,1982-02-14,1,4,0,2021-06-01
9021,1001,3003,5,102,KGID-105021,Basavaraj Rao,1982-09-08,1,1,0,2021-06-01
9022,1001,3003,4,101,KGID-105022,Ganesh Patil,1979-10-19,1,2,0,2009-06-01
9023,1001,3003,4,101,KGID-105023,Basavaraj Pujari,1979-04-14,1,3,0,2011-06-01
9024,1001,3003,4,101,KGID-105024,Basavaraj Kulkarni,1988-02-26,1,2,0,2008-06-01
9025,1001,3003,4,101,KGID-105025,Ramesh Nayak,1974-08-12,1,2,0,2019-06-01
9026,1001,3003,1,103,KGID-105026,Suresh Hiremath,1983-12-02,1,3,0,2021-06-01
9027,1001,3003,3,103,KGID-105027,Prakash Bhat,1977-03-16,1,3,0,2016-06-01
9028,1001,3003,3,103,KGID-105028,Suresh Bhat,1974-01-21,1,3,0,2010-06-01
9029,1001,3003,1,103,KGID-105029,Shivakumar Kulkarni,1986-12-05,1,4,0,2008-06-01
9030,1001,3003,3,103,KGID-105030,Shivakumar Rao,1970-09-12,1,3,0,2005-06-01
9031,1001,3004,5,102,KGID-105031,Shivakumar Rao,1987-06-23,1,2,0,2007-06-01
9032,1001,3004,4,101,KGID-105032,Mahesh Kulkarni,1975-10-15,1,4,0,2007-06-01
9033,1001,3004,4,101,KGID-105033,Anand Gowda,1977-02-16,1,1,0,2005-06-01
9034,1001,3004,4,101,KGID-105034,Anand Rao,1989-04-15,1,4,0,2017-06-01
9035,1001,3004,4,101,KGID-105035,Shivakumar Bhat,1986-08-10,1,2,0,2022-06-01
9036,1001,3004,3,103,KGID-105036,Manjunatha Rao,1984-07-01,1,4,0,2013-06-01
9037,1001,3004,2,103,KGID-105037,Ganesh Kulkarni,1974-11-06,1,2,0,2022-06-01
9038,1001,3004,3,103,KGID-105038,Anand Gowda,1996-11-06,1,1,0,2019-06-01
9039,1001,3004,2,103,KGID-105039,Suresh Gowda,1977-11-10,1,1,0,2013-06-01
9040,1001,3004,1,103,KGID-105040,Ramesh Bhat,1975-05-14,1,3,0,2015-06-01
9041,1001,3005,5,102,KGID-105041,Vijay Chavan,1973-11-27,1,1,0,2015-06-01
9042,1001,3005,4,101,KGID-105042,Anand Rao,1993-11-22,1,3,0,2019-06-01
9043,1001,3005,4,101,KGID-105043,Anand Patil,1979-10-27,1,4,0,2016-06-01
9044,1001,3005,4,101,KGID-105044,Vijay Gowda,1970-01-02,1,1,0,2021-06-01
9045,1001,3005,4,101,KGID-105045,Basavaraj Gowda,1990-02-19,1,4,0,2007-06-01
9046,1001,3005,2,103,KGID-105046,Prakash Gowda,1995-11-10,1,3,0,2007-06-01
9047,1001,3005,2,103,KGID-105047,Ganesh Patil,1973-03-01,1,3,0,2016-06-01
9048,1001,3005,2,103,KGID-105048,Mahesh Chavan,1978-11-01,1,3,0,2013-06-01
9049,1001,3005,2,103,KGID-105049,Vijay Nayak,1980-11-02,1,4,0,2012-06-01
9050,1001,3005,2,103,KGID-105050,Manjunatha Pujari,1995-08-04,1,1,0,2022-06-01
9051,1001,3006,5,102,KGID-105051,Prakash Nayak,1991-07-27,1,4,0,2018-06-01
