VictimMasterID,CaseMasterID,VictimName,AgeYear,GenderID,VictimPolice
1,1,Manjunath Pujari,52,1,0
2,1,Lakshmi Kumar,44,2,0
3,2,Anitha Shetty,26,2,0
4,2,Kavitha Kumar,30,1,0
5,3,Mahesh Rao,19,2,0
6,4,Kavitha Patil,30,2,0
7,5,Venkatesh Kumar,23,1,1
8,5,Vijay Shetty,26,1,0
9,6,Ganesh Nayak,44,2,1
10,6,Anitha Kumar,47,1,0
11,7,Ganesh Rao,64,1,0
12,8,Ramesh Kumar,56,2,0
13,8,Lakshmi Shetty,45,1,0
14,9,Manjunath Shetty,37,2,1
15,10,Ganesh Patil,59,1,0
16,10,Vijay Kulkarni,26,2,0
17,11,Anitha Patil,24,1,1
18,12,Vijay Kulkarni,24,1,0
19,13,Manjunath Bhat,40,2,0
20,14,Suresh Kulkarni,31,2,0
21,15,Mahesh Pujari,37,2,0
22,16,Ganesh Gowda,62,1,0
23,16,Ganesh Kulkarni,36,2,0
24,17,Kavitha Deshmukh,42,2,0
25,18,Priya Pujari,38,2,0
26,18,Manjunath Hegde,26,1,0
27,19,Mahesh Bhat,29,1,0
28,20,Anitha Kumar,43,1,1
29,21,Mahesh Patil,54,2,0
30,22,Venkatesh Reddy,52,1,0
31,23,Anitha Reddy,22,2,1
32,24,Manjunath Gowda,35,1,1
33,25,Anitha Reddy,29,1,1
34,26,Suresh Kulkarni,65,1,0
35,27,Priya Bhat,58,1,0
36,28,Ramesh Bhat,62,2,0
37,29,Suresh Patil,43,2,0
38,30,Vijay Pujari,64,2,1
39,31,Vijay Shetty,54,2,1
40,32,Ganesh Rao,38,1,0
41,32,Ganesh Bhat,19,2,0
42,33,Lakshmi Patil,41,1,0
43,34,Manjunath Kulkarni,22,2,0
44,35,Ganesh Bhat,43,1,0
45,36,Lakshmi Kumar,42,2,0
46,37,Kavitha Hegde,63,2,0
47,37,Vijay Patil,64,2,1
48,38,Venkatesh Pujari,63,1,0
49,39,Vijay Gowda,57,2,0
50,39,Ganesh Pujari,54,1,1
51,40,Manjunath Rao,48,1,0
52,41,Manjunath Kulkarni,51,1,1
